ChimeraID	HostBGC	HostOrganism	HostCompound	DonorBGC	DonorOrganism	DonorProtein	DonorProduct	DonorLength	SwapPosition	AssemblySize	MeanDJCS	MinDJCS	MaxDJCS	MeanDeltaH	Rescued	RescueLinker	ProteinIDs
CHM_02889	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000034	Streptomyces sp. FR-008	AAQ82565.1	FscB	5541	1	2	99.9978	99.9978	99.9978	0.01	False		API82663.1;AAQ82565.1
CHM_06027	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0001971	Okeania hirsuta	AZH23825.1	hypothetical protein	593	0	2	99.9961	99.9961	99.9961	0.0133	False		AZH23825.1;AMIS_50690
CHM_02892	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000252	Streptomyces griseus subsp. griseus	AAC26133.1	putative diester hydrolase	569	0	2	99.9911	99.9911	99.9911	0.02	False		AAC26133.1;API82664.1
CHM_02888	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000034	Streptomyces sp. FR-008	AAQ82567.1	FscE	7771	0	2	99.9843	99.9843	99.9843	0.0267	False		AAQ82567.1;API82664.1
CHM_02874	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000040	Streptomyces neyagawaensis	AAZ94389.1	modular polyketide synthase	3982	0	2	99.9754	99.9754	99.9754	0.0333	False		AAZ94389.1;API82664.1
CHM_09422	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000345	Streptomyces hygroscopicus	AHB38511.1	EpnJ	658	1	2	99.9754	99.9754	99.9754	0.0333	False		AAA67509.1;AHB38511.1
CHM_08409	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0000252	Streptomyces griseus subsp. griseus	AAC26133.1	putative diester hydrolase	569	1	3	99.9748	99.9584	99.9911	0.0317	False		H5968_00850;AAC26133.1;H5968_00880
CHM_09452	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000112	Streptomyces carzinostaticus subsp. neocarzinostaticus	AAM77986.1	iterative type I polyketide synthase	1753	1	2	99.9646	99.9646	99.9646	0.04	False		AAA67509.1;AAM77986.1
CHM_05134	BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	BGC0001069	Sorangium cellulosum	AAY89050.1	polyketide synthase	8417	1	3	99.9645	99.9447	99.9843	0.0383	False		QBE85643.1;AAY89050.1;QBE85649.1
CHM_02135	BGC0000122	Nannocystis pusilla	phenylnannolone A	BGC0002083	Burkholderia gladioli	LvStA_05070	Polyketide synthase PksL	3248	1	3	99.9489	99.9017	99.9961	0.04	False		AHN85651.1;LvStA_05070;AHN85644.1
CHM_05005	BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	BGC0000032	Streptomyces chartreusis NRRL 3882	AEH42490.1	polyketide synthase	1638	1	3	99.9478	99.9113	99.9843	0.045	False		QBE85643.1;AEH42490.1;QBE85649.1
CHM_07700	BGC0002500	Streptomyces pactum	NFAT-133	BGC0001299	Sorangium cellulosum	ALD83704.1	tAT polyketide synthase	2590	4	6	99.9362	99.881	99.9754	0.0513	False		QPP46759.1;QPP46749.1;QPP46750.1;QPP46757.1;ALD83704.1;QPP46760.1
CHM_09446	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000181	Bacillus velezensis FZB42	CAG23967.1	polyketide synthase type I	2334	1	2	99.929	99.929	99.929	0.0567	False		AAA67509.1;CAG23967.1
CHM_04999	BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	BGC0001971	Okeania hirsuta	AZH23821.1	MgiH	1681	1	3	99.9232	99.9017	99.9447	0.0583	False		QBE85643.1;AZH23821.1;QBE85649.1
CHM_06042	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0000163	Streptomyces longisporoflavus	ACR50773.1	polyketide synthase	5136	1	2	99.9203	99.9203	99.9203	0.06	False		AMIS_50350;ACR50773.1
CHM_09372	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000383	Photorhabdus laumondii subsp. laumondii TTO1	PluTT01m_09655	non-ribosomal peptide synthetase	1065	1	2	99.9203	99.9203	99.9203	0.06	False		AAA67509.1;PluTT01m_09655
CHM_02093	BGC0002237	Aspergillus oryzae RIB40	dichlorodiaporthin	BGC0002342	Myxococcus xanthus	QKW94285.1	short-chain dehydrogenase/reductase SDR	2460	1	3	99.9193	99.8584	99.9801	0.055	False		AO090701000525;QKW94285.1;AO090701000530
CHM_07819	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000122	Nannocystis pusilla	AHN85644.1	hypothetical protein	568	1	3	99.9032	99.8074	99.999	0.05	False		ATEG_03629;AHN85644.1;ATEG_03635
CHM_07600	BGC0002500	Streptomyces pactum	NFAT-133	BGC0002083	Burkholderia gladioli	LvStA_05069	Polyketide synthase PksN	10181	4	6	99.8966	99.6992	99.9754	0.0607	False		QPP46759.1;QPP46749.1;QPP46750.1;QPP46757.1;LvStA_05069;QPP46760.1
CHM_05050	BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	BGC0000040	Streptomyces neyagawaensis	AAZ94391.1	modular polyketide synthase	2056	1	3	99.8962	99.8339	99.9584	0.065	False		QBE85643.1;AAZ94391.1;QBE85649.1
CHM_04938	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0001299	Sorangium cellulosum	ALD83704.1	tAT polyketide synthase	2590	0	3	99.8819	99.7639	99.9998	0.0533	False		ALD83704.1;P168DRAFT_331182;P168DRAFT_294109
CHM_07853	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000297	Planktothrix agardhii NIVA-CYA 126	CAM59606.1	non-ribosomal peptide synthetase	1622	2	3	99.879	99.7934	99.9646	0.0683	False		ATEG_03629;ATEG_03630;CAM59606.1
CHM_07922	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000275	Streptomyces glaucescens	AAA67509.1	tetracenomycin C resistance and export protein	538	2	3	99.8726	99.7934	99.9518	0.0717	False		ATEG_03629;ATEG_03630;AAA67509.1
CHM_02876	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000038	Streptomyces coelicolor A3(2)	CAC22145.1	putative type I polyketide synthase	3576	0	2	99.87	99.87	99.87	0.0767	False		CAC22145.1;API82664.1
CHM_04935	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0002141	Streptomyces bottropensis DO-45	AKT74266.1	TxnP1	579	0	3	99.8642	99.7639	99.9646	0.0717	False		AKT74266.1;P168DRAFT_331182;P168DRAFT_294109
CHM_02902	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000345	Streptomyces hygroscopicus	AHB38508.1	EpnF	599	0	2	99.8584	99.8584	99.8584	0.08	False		AHB38508.1;API82664.1
CHM_02021	BGC0002237	Aspergillus oryzae RIB40	dichlorodiaporthin	BGC0000954	Chondromyces crocatus	CAQ18834.1	polyketide synthase	2946	1	3	99.8451	99.7789	99.9113	0.0817	False		AO090701000525;CAQ18834.1;AO090701000530
CHM_07803	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001001	Lyngbya majuscula	AAS98774.1	JamA	592	0	3	99.8435	99.6992	99.9879	0.07	False		AAS98774.1;ATEG_03630;ATEG_03635
CHM_07875	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0002021	Actinoplanes missouriensis 431	AMIS_50690	putative ABC transporter ATPase and permease protein	576	0	3	99.8435	99.6992	99.9879	0.07	False		AMIS_50690;ATEG_03630;ATEG_03635
CHM_07805	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001001	Lyngbya majuscula	AAS98783.1	JamL	3935	2	3	99.8372	99.7934	99.881	0.085	False		ATEG_03629;ATEG_03630;AAS98783.1
CHM_07890	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001827	Sarocladium sp. 'schorii'	AWM95792.1	transcription factor	854	0	3	99.8347	99.6992	99.9702	0.0767	False		AWM95792.1;ATEG_03630;ATEG_03635
CHM_02856	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000163	Streptomyces longisporoflavus	ACR50781.1	putative FAD-dependent oxygenase	500	0	2	99.8339	99.8339	99.8339	0.0867	False		ACR50781.1;API82664.1
CHM_07833	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000105	Streptomyces nanchangensis	AAP42879.1	NanG7	611	0	3	99.8255	99.6992	99.9518	0.0817	False		AAP42879.1;ATEG_03630;ATEG_03635
CHM_07926	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001069	Sorangium cellulosum	AAY89050.1	polyketide synthase	8417	0	3	99.8255	99.6992	99.9518	0.0817	False		AAY89050.1;ATEG_03630;ATEG_03635
CHM_02930	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0002342	Myxococcus xanthus	QKW94304.1	non-ribosomal peptide synthetase	1095	0	2	99.8209	99.8209	99.8209	0.09	False		QKW94304.1;API82664.1
CHM_09419	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0001299	Sorangium cellulosum	ALD83711.1	hypothetical protein	559	0	2	99.8209	99.8209	99.8209	0.09	False		ALD83711.1;AAA67511.1
CHM_02114	BGC0000122	Nannocystis pusilla	phenylnannolone A	BGC0000032	Streptomyces chartreusis NRRL 3882	AEH42470.1	peptidase S15	680	1	3	99.8208	99.6455	99.9961	0.07	False		AHN85651.1;AEH42470.1;AHN85644.1
CHM_09490	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0000383	Photorhabdus laumondii subsp. laumondii TTO1	PluTT01m_09655	non-ribosomal peptide synthetase	1065	3	5	99.816	99.481	99.9801	0.0783	False		QKW94305.1;QKW94294.1;QKW94304.1;PluTT01m_09655;QKW94285.1
CHM_09520	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0002869	Streptomyces sp. CB04723	HXS80_03465	non-ribosomal peptide synthetase	919	3	5	99.8009	99.481	99.9939	0.0767	False		QKW94305.1;QKW94294.1;QKW94304.1;HXS80_03465;QKW94285.1
CHM_04902	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0000040	Streptomyces neyagawaensis	AAZ94401.1	2,3-dehydratase	500	0	3	99.7924	99.7639	99.8209	0.0967	False		AAZ94401.1;P168DRAFT_331182;P168DRAFT_294109
CHM_09440	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000186	Burkholderia thailandensis E264	BTH_II1663	pyruvate ferredoxin/flavodoxin oxidoreductase family protein	1170	1	2	99.7789	99.7789	99.7789	0.1	False		AAA67509.1;BTH_II1663
CHM_09460	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0001971	Okeania hirsuta	AZH23820.1	MgiG	1902	3	5	99.7782	99.481	99.9879	0.0825	False		QKW94305.1;QKW94294.1;QKW94304.1;AZH23820.1;QKW94285.1
CHM_07869	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000252	Streptomyces griseus subsp. griseus	AAC26133.1	putative diester hydrolase	569	0	3	99.7728	99.6992	99.8464	0.1	False		AAC26133.1;ATEG_03630;ATEG_03635
